,국가,환자발생수,사망자수,지역
151,케냐,"95,992"," 1,664",아프리카
152,나미비아,"21,923", 191,아프리카
153,중앙아프리카공화국,"4,961", 63,아프리카
154,콩고,"6,200", 100,아프리카
155,적도기니,"5,248", 86,아프리카
156,에스와티니,"8,484", 165,아프리카
157,모리타니아,"13,642", 324,아프리카
158,르완다,"8,021", 75,아프리카
159,세이쉘,211,,아프리카
160,베냉,"3,205", 44,아프리카
161,라이베리아,"1,800", 83,아프리카
162,탄자니아,509, 21,아프리카
163,지부티,"5,813", 61,아프리카
164,감비아,"3,797", 123,아프리카
165,잠비아,"19,943", 384,아프리카
166,모리셔스,524, 10,아프리카
167,차드,"2,015", 104,아프리카
168,니제르,"3,005", 91,아프리카
169,카보베르데,"11,723", 112,아프리카
170,짐바브웨,"13,148", 354,아프리카
171,소말리아,"4,690", 127,아프리카
172,마다가스카르,"17,714", 261,아프리카
173,앙골라,"17,240", 399,아프리카
174,에리트레아,"1,039", 2,아프리카
175,우간다,"33,811", 248,아프리카
176,모잠비크,"18,265", 161,아프리카
177,기니비사우,"2,447", 45,아프리카
178,말리,"6,703", 256,아프리카
179,보츠와나,"13,622", 38,아프리카
180,브룬디,809, 2,아프리카
181,시에라리온,"2,560", 76,아프리카
182,말라위,"6,354", 188,아프리카
183,남수단,"3,491", 62,아프리카
184,상투메프린시페,"1,014", 17,아프리카
185,코모로,731, 7,아프리카
186,레소토,"2,577", 50,아프리카
187,기타지역 영토,"313,861"," 3,762",기타
