,인구수,국가,환자발생수,사망자수,지역
124,2790472,리투아니아,"134,285"," 1,347",유럽
125,2772294,카타르,"143,222", 244,중동
126,2726667,자메이카,"12,732", 298,아메리카
127,2458936,나미비아,"21,923", 191,아프리카
128,2338851,보츠와나,"13,622", 38,아프리카
129,2228075,감비아,"3,797", 123,아프리카
130,2109099,가봉,"9,510", 64,아프리카
131,2080908,슬로베니아,"115,327"," 2,584",유럽
132,2075301,북마케도니아,"81,804"," 2,456",유럽
133,2007201,레소토,"2,577", 50,아프리카
134,1915100,라트비아,"36,838", 578,유럽
135,1798506,코소보,"50,758"," 1,307",유럽
136,1604528,기니비사우,"2,447", 45,아프리카
137,1543300,바레인,"91,935", 351,중동
138,1131664,동티모르,41,,아시아
139,1324820,에스토니아,"26,283", 213,유럽
140,1265577,모리셔스,524, 10,아프리카
141,1093238,에스와티니,"8,484", 165,아프리카
142,1078373,지부티,"5,813", 61,아프리카
143,884887,피지,46, 2,오세아니아
144,873724,코모로,731, 7,아프리카
145,786508,가이아나,"6,298", 164,아메리카
146,741672,부탄,623,,아시아
147,667400,마카오,46,,아시아
148,622359,몬테네그로,"47,028", 676,유럽
149,613894,룩셈부르크,"45,846", 487,유럽
150,573085,수리남,"5,978", 119,아메리카
151,550483,카보베르데,"11,723", 112,아프리카
152,475701,몰타,"12,426", 215,유럽
153,421300,브루나이,152, 3,아시아
154,398050,벨리즈,"10,561", 233,아메리카
155,385340,바하마,"7,834", 170,아메리카
156,378114,몰디브,"13,660", 48,아시아
157,358780,아이슬란드,"5,736", 29,유럽
158,304500,바누아투,1,,오세아니아
159,287010,바베이도스,356, 7,아메리카
160,180454,세인트루시아,331, 5,아메리카
161,108825,그레나다,131,,아메리카
162,76177,안도라,"7,875", 83,유럽
163,38380,리히텐슈타인,"2,092", 27,유럽
164,38300,모나코,803, 3,유럽
165,33422,산마리노,"2,276", 57,유럽
